"","type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_6","label"
"4900","red",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,"bad",1
"4902","red",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,"good",1
"4904","red",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,"bad",1
"4905","red",7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,"bad",1
"4908","red",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,"bad",1
"4909","red",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,"bad",1
"4911","red",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,"bad",1
"4912","red",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,"bad",1
"4913","red",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,"bad",1
"4914","red",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,"bad",1
"4915","red",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,"good",1
"4916","red",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,"bad",1
"4917","red",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,"bad",1
"4918","red",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,"good",1
"4919","red",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,"good",1
"4921","red",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,"bad",1
"4922","red",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,"bad",1
"4923","red",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,"good",1
"4925","red",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,"bad",1
"4927","red",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,"bad",1
"4928","red",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,"good",1
"4929","red",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,"bad",1
"4930","red",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,"good",1
"4931","red",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,"bad",1
"4932","red",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,"good",1
"4933","red",5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,"bad",1
"4936","red",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,"good",1
"4938","red",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,"bad",1
"4939","red",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,"bad",1
"4940","red",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,"bad",1
"4942","red",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,"bad",1
"4944","red",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,"bad",1
"4945","red",7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,"bad",1
"4946","red",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,"bad",1
"4947","red",6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,"bad",1
"4948","red",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,"bad",1
"4949","red",8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,"bad",1
"4951","red",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,"good",1
"4952","red",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,"bad",1
"4953","red",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,"good",1
"4954","red",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,"bad",1
"4955","red",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,"bad",1
"4958","red",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,"good",1
"4959","red",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,"bad",1
"4960","red",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,"bad",1
"4962","red",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,"bad",1
"4964","red",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,"bad",1
"4965","red",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,"bad",1
"4966","red",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,"bad",1
"4967","red",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,"bad",1
"4968","red",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,"good",1
"4969","red",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,"good",1
"4970","red",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,"bad",1
"4971","red",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,"bad",1
"4972","red",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,"bad",1
